setting,episode,trace_episode,seed,success,trace_success,failure_stage,steps_logged,initial_open_left_m,initial_open_right_m,max_open_left_m,max_open_right_m,max_fork_lift_m,max_spoon_lift_m,min_left_link6_to_fork_m,min_right_link6_to_spoon_m,max_target_streak,final_fork_target_xy_error_m,final_spoon_target_xy_error_m
clear,1,0,209652396,True,True,success,140,1.2082423950232624e-07,4.119140584180059e-08,0.049928806722164154,0.049569010734558105,0.1041293740272522,0.10764193534851074,0.13850466907024384,0.137735977768898,5,0.018054354018922462,0.01096725546430615
clear,2,1,398764591,True,True,success,140,-1.9774174120357202e-07,-4.733989911187564e-08,0.04976987838745117,0.049788299947977066,0.10510706901550293,0.10775923728942871,0.13909737765789032,0.13783392310142517,9,0.006398386478234464,0.003947520632254405
clear,3,2,924231285,False,False,open_but_no_effective_grasp,361,5.6154291883103724e-08,8.575575805025437e-10,0.050002023577690125,0.05012775957584381,0.007883429527282715,0.0060312747955322266,0.1359861046075821,0.13817334175109863,0,0.049837081890053515,0.0037727700786916478
clear,4,3,1478610112,True,True,success,160,1.0818472873097562e-07,4.105791262531966e-08,0.04961269721388817,0.04954616352915764,0.10655367374420166,0.10846805572509766,0.13840748369693756,0.13729225099086761,6,0.012159879011376107,0.00435095022340944
clear,5,4,441365315,True,True,success,140,2.4344615212612553e-09,1.1936745636376145e-07,0.04981730505824089,0.049880798906087875,0.10623294115066528,0.10812002420425415,0.13807837665081024,0.138183131814003,10,0.008645360118156626,0.006188071996260858
clear,6,5,1537364731,True,True,success,140,7.67005445823088e-08,-5.747670073219524e-08,0.04961613938212395,0.04961099475622177,0.10607057809829712,0.10744184255599976,0.1398051679134369,0.13918209075927734,9,0.019851147705593635,0.015292853117018338
clear,7,6,192771779,True,True,success,170,2.108998842231813e-08,6.49236397975983e-08,0.04992634430527687,0.050001587718725204,0.1039724349975586,0.10603392124176025,0.13873344659805298,0.13734380900859833,5,0.00631007538537559,0.005813025544799007
clear,8,7,1491434855,True,True,success,140,-1.186463478575206e-07,7.410295665977173e-08,0.04984439164400101,0.04989002272486687,0.10594719648361206,0.09967529773712158,0.13826249539852142,0.13860824704170227,9,0.002828822424589431,0.004499300071752443
clear,9,8,1819583497,True,True,success,160,1.953220021277957e-07,-7.148393024181132e-07,0.05045274645090103,0.049601782113313675,0.10470074415206909,0.10691380500793457,0.1368585079908371,0.13773171603679657,6,0.01246710350920104,0.008833940138045162
clear,10,9,530702035,True,True,success,160,8.034854914740208e-08,7.034318372234338e-08,0.04990186169743538,0.049849238246679306,0.10454857349395752,0.10947024822235107,0.13649244606494904,0.13817928731441498,9,0.002301424503369857,0.01036330464846331
clear,11,10,626610453,True,True,success,140,1.8878523633247823e-07,1.280790584701208e-08,0.049835193902254105,0.04992542415857315,0.10561138391494751,0.10592573881149292,0.13743163645267487,0.13823148608207703,10,0.0067459009860342195,0.00837598118984004
clear,12,11,1650906866,True,True,success,140,8.622966873872429e-08,9.728133676389916e-08,0.04961159825325012,0.05038541555404663,0.10477882623672485,0.10347265005111694,0.13833291828632355,0.1379997283220291,9,0.0014505573876190793,0.008259307707387063
clear,13,12,1879422756,True,True,success,150,9.797783917520064e-08,2.7996239992944538e-08,0.049796950072050095,0.049821238964796066,0.10580509901046753,0.10816115140914917,0.13637128472328186,0.13822075724601746,12,0.008309236937632336,0.0008942915787514059
clear,14,13,1277901399,True,True,success,160,1.1165309388161404e-06,1.3403937373368535e-06,0.04953164607286453,0.049594320356845856,0.10500556230545044,0.10181194543838501,0.1379261165857315,0.13824661076068878,12,0.010909045535107013,0.011448733711448522
clear,15,14,1682652230,False,False,both_lifted_but_not_placed,361,5.443529289550497e-07,1.440856181034178e-06,0.050002068281173706,0.0499984547495842,0.08966612815856934,0.10651159286499023,0.14406268298625946,0.13696283102035522,0,0.04287488506808654,0.004733879296099176
